"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HN02","HN02_ATTRIBUTES","HN03","HN03_ATTRIBUTES","HN04","HN04_ATTRIBUTES","HN05","HN05_ATTRIBUTES","HN06","HN06_ATTRIBUTES","HN07","HN07_ATTRIBUTES","HN08","HN08_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","HX02","HX02_ATTRIBUTES","HX03","HX03_ATTRIBUTES","HX04","HX04_ATTRIBUTES","HX05","HX05_ATTRIBUTES","HX06","HX06_ATTRIBUTES","HX07","HX07_ATTRIBUTES","HX08","HX08_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LN02","LN02_ATTRIBUTES","LN03","LN03_ATTRIBUTES","LN04","LN04_ATTRIBUTES","LN05","LN05_ATTRIBUTES","LN06","LN06_ATTRIBUTES","LN07","LN07_ATTRIBUTES","LN08","LN08_ATTRIBUTES","LX01","LX01_ATTRIBUTES","LX02","LX02_ATTRIBUTES","LX03","LX03_ATTRIBUTES","LX04","LX04_ATTRIBUTES","LX05","LX05_ATTRIBUTES","LX06","LX06_ATTRIBUTES","LX07","LX07_ATTRIBUTES","LX08","LX08_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MN02","MN02_ATTRIBUTES","MN03","MN03_ATTRIBUTES","MN04","MN04_ATTRIBUTES","MN05","MN05_ATTRIBUTES","MN06","MN06_ATTRIBUTES","MN07","MN07_ATTRIBUTES","MN08","MN08_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MX02","MX02_ATTRIBUTES","MX03","MX03_ATTRIBUTES","MX04","MX04_ATTRIBUTES","MX05","MX05_ATTRIBUTES","MX06","MX06_ATTRIBUTES","MX07","MX07_ATTRIBUTES","MX08","MX08_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00129222","1961","41.4439","-86.9294","224.0","WANATAH 2 WNW, IN US","    382.6","","     382.6","0","       125","0","        80","0","         7","0","       59","","        12","0","        10","0","       149","0","        41","0","       135","0","        10","0","        25"," ","        38"," ","  -29.4","0,0125, ","   152"," ,0,0417,+","   119"," ,0,0225, ","  97.0"," ,0,0608, ","   33.9","0,0701, ","0.0","0,0929","-2.8","0,1027","-4.4","0,1104","-7.2","0,1129","-11.1","0,1208","-0.6","0,0527","-3.3","0,0417","-6.7","0,0408","-6.7","0,0408","-10.6","0,0226","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   1024.6"," ,0","      839"," ,0","      8.94","0","     14.61","0","      3.27","0"
"USC00129222","1962","41.4439","-86.9294","224.0","WANATAH 2 WNW, IN US","    383.1","","     383.1","0","       101","0","        61","0","         4","0","       96","","         9","0","        20","0","       159","0","        58","0","       151","0","        14","0","        31"," ","        34"," ","  -23.9","0,0110, ","   178"," ,0,0120,+","   170"," ,0,0115, ","  46.5"," ,0,0825, ","   35.0","0,0821, ","0.0","0,0921","-2.8","0,1024","-6.1","0,1026","-10.0","0,1208","-10.0","0,1208","-3.9","0,0420","-3.9","0,0420","-5.6","0,0416","-7.2","0,0316","-10.0","0,0304","    3833.8","8","","","","","","","","","","","","","","","","","    3833.8","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    737.7"," ,0","      862"," ,0","      8.63","0","     14.45","0","      2.80","0"
"USC00129222","1963","41.4439","-86.9294","224.0","WANATAH 2 WNW, IN US","    353.5","","     353.5","0","       107","0","        62","0","         6","0","       75","","         9","0","        38","0","       145","0","        71","0","       155","0","        12","0","        19"," ","        40"," ","  -28.9","0,0128, ","   203"," ,0,0201,+","    79"," ,0,1218, ","  55.9"," ,0,0716, ","   35.6","0,0702, ","0.0","0,1030","-4.4","0,1103","-4.4","0,1103","-8.3","0,1201","-9.4","0,1203","-1.1","0,0523","-2.8","0,0501","-5.0","0,0412","-10.0","0,0303","-10.0","0,0303","    4053.0","0","","","","","","","","","","","","","","","","","    4053.0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    727.5"," ,0","      686"," ,0","      8.35","0","     14.63","0","      2.07","0"
"USC00129222","1964","41.4439","-86.9294","224.0","WANATAH 2 WNW, IN US","    453.3","","     453.3","0","       100","0","        65","0","         6","0","       50","","        16","0","         3","0","       146","0","        51","0","       147","0","        32","0","","","        43"," ","  -21.1","0,0101, ","   203"," ,0,1205,+","   119"," ,0,0330, ","  65.3"," ,0,0921, ","   35.6","0,0803, ","0.0","0,1006","-2.8","0,1011","-11.1","0,1120","-11.1","0,1120","-11.1","0,1120","-0.6","0,0415","-3.9","0,0409","-6.1","0,0404","-7.8","0,0401","-10.0","0,0330","    3551.9","9","","","","","","","","","","","","","","","","","    3551.9","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    823.2"," ,0","     1069"," ,0","      9.67","0","     15.72","0","      3.62","0"
"USC00129222","1965","41.4439","-86.9294","224.0","WANATAH 2 WNW, IN US","    360.0","","     360.0","0","       129","0","        83","0","         7","0","       40","","        12","0","         9","0","       137","0","        42","0","       141","0","        10","0","","","        46"," ","  -23.9","0,0203,+","   178"," ,0,0227,+","   107"," ,0,0225, ","  87.6"," ,0,1225, ","   33.9","0,0724, ","-1.7","0,1005","-3.9","0,1029","-5.0","0,1114","-6.7","0,1118","-12.2","0,1226","0.0","0,0414","-3.3","0,0403","-8.3","0,0328","-8.3","0,0328","-17.8","0,0327","    3761.5","5","","","","","","","","","","","","","","","","","    3761.5","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   1177.7"," ,0","      789"," ,0","      9.45","0","     14.83","0","      4.07","0"
"USC00129222","1966","41.4439","-86.9294","224.0","WANATAH 2 WNW, IN US","    393.4","","     393.4","0","       103","0","        69","0","         9","0","       43","","        10","0","         8","0","       150","0","        50","0","       129","0","        19","0","","","        38"," ","  -26.1","0,0130, ","   102"," ,0,0301, ","   102"," ,0,0301, ","  52.3"," ,0,0613, ","   36.1","0,0713,+","-1.7","0,1006","-3.9","0,1025","-5.6","0,1102","-7.8","0,1104","-10.0","0,1201","-3.3","0,0510","-3.3","0,0510","-4.4","0,0331","-6.7","0,0328","-10.0","0,0308","    3681.1","1","","","","","","","","","","","","","","","","","    3681.1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    920.6"," ,0","      492"," ,0","      8.73","0","     14.45","0","      3.01","0"
"USC00129222","1967","41.4439","-86.9294","224.0","WANATAH 2 WNW, IN US","    303.5","","     303.5","0","       147","0","        84","0","         6","0","       67","","        21","0","        12","0","       139","0","        50","0","       131","0","         7","0","","","        44"," ","  -25.0","0,0207, ","   559"," ,0,0130, ","   356"," ,0,0127, ","  45.0"," ,0,0417, ","   33.9","0,0616, ","-1.7","0,1012","-2.2","0,1021","-4.4","0,1104","-7.2","0,1127","-10.0","0,1128","-0.6","0,0503","-3.9","0,0425","-7.2","0,0319","-7.2","0,0319","-10.6","0,0318","    3848.2","2","","","","","","","","","","","","","","","","","    3848.2","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    964.5"," ,0","     1612"," ,0","      8.42","0","     14.04","0","      2.79","0"
"USC00129222","1968","41.4439","-86.9294","224.0","WANATAH 2 WNW, IN US","    398.5","","     398.5","0","       144","0","        79","0","         9","0","       69","","        20","0","        12","0","       134","0","        57","0","       139","0","        19","0","","","        41"," ","  -26.7","0,0107, ","   305"," ,0,0115, ","   140"," ,0,1208, ","  91.2"," ,0,0626, ","   35.0","0,0610, ","0.0","0,1004","-3.3","0,1030","-5.0","0,1113","-7.2","0,1120","-8.9","0,1206","-3.3","0,0506","-3.3","0,0506","-4.4","0,0406","-6.7","0,0317","-11.1","0,0313","    3787.5","5","","","","","","","","","","","","","","","","","    3787.5","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   1056.6"," ,0","     1400"," ,0","      9.23","0","     14.80","0","      3.66","0"
"USC00129222","1969","41.4439","-86.9294","224.0","WANATAH 2 WNW, IN US","    382.3","","     382.3","0","       122","0","        74","0","         5","0","       57","","        14","0","         9","0","       147","0","        49","0","       132","0","        11","0","","","        40"," ","  -22.8","0,0104, ","   254"," ,0,0109,+","   152"," ,0,1223, ","  47.2"," ,0,1011, ","   34.4","0,0717, ","-1.1","0,1015","-2.8","0,1024","-5.6","0,1114","-7.8","0,1115","-10.6","0,1116","-1.7","0,0430","-6.1","0,0401","-6.1","0,0401","-11.1","0,0331","-11.1","0,0331","    3811.2","2","","","","","","","","","","","","","","","","","    3811.2","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    829.1"," ,0","      885"," ,0","      8.80","0","     14.10","0","      3.50","0"
"USC00129222","1970","41.4439","-86.9294","224.0","WANATAH 2 WNW, IN US","    413.3","","     413.3","0","       141","0","        71","0","        10","0","       67","","        18","0","        15","0","       135","0","        56","0","       138","0","        10","0","","","        52"," ","  -27.8","0,0120, ","   254"," ,0,0124, ","   191"," ,0,0326, ","  47.2"," ,0,0513, ","   36.1","0,0703, ","0.0","0,1001","-6.1","0,1116","-6.1","0,1116","-11.7","0,1123","-11.7","0,1123","-1.1","0,0506","-3.3","0,0410","-9.4","0,0331","-9.4","0,0331","-9.4","0,0331","    3885.1","1","","","","","","","","","","","","","","","","","    3885.1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   1031.0"," ,0","     1312"," ,0","      8.96","0","     14.18","0","      3.73","0"
