"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HN02","HN02_ATTRIBUTES","HN03","HN03_ATTRIBUTES","HN04","HN04_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","HX02","HX02_ATTRIBUTES","HX03","HX03_ATTRIBUTES","HX04","HX04_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LN02","LN02_ATTRIBUTES","LN03","LN03_ATTRIBUTES","LN04","LN04_ATTRIBUTES","LX01","LX01_ATTRIBUTES","LX02","LX02_ATTRIBUTES","LX03","LX03_ATTRIBUTES","LX04","LX04_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MN02","MN02_ATTRIBUTES","MN03","MN03_ATTRIBUTES","MN04","MN04_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MX02","MX02_ATTRIBUTES","MX03","MX03_ATTRIBUTES","MX04","MX04_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00013722","1945","35.8923","-78.7819","126.8","RALEIGH AIRPORT, NC US","","","    916.9","","     916.9","0","       128","0","        84","0","        14","0","        6","","         2","0","         0","0","        62","0","         3","0","       212","0","        50","0","","","","","","","  -11.1","0,0201, ","    76"," ,0,1215, ","    74"," ,0,1215, ","  91.2"," ,0,0915, ","   38.9","0,0630, ","0.0","0,1016","-2.8","0,1105","-6.1","0,1124","-7.8","0,1212","-10.0","0,1217","0.0","0,0407","-2.8","0,0220","-5.0","0,0207","-7.8","0,0204","-11.1","0,0201","    1920.2","2","","","","","","","","","    1920.2","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   1399.1"," ,0","","","      125"," ,0","     15.68","0","     21.70","0","      9.67","0","","","","","","","","","","","","","","","","","",""
"USW00013722","1946","35.8923","-78.7819","126.8","RALEIGH AIRPORT, NC US","","","    721.9","","     721.9","0","       131","0","        84","0","        14","0","        8","","         2","0","         0","0","        50","0","         0","0","       223","0","        28","0","","","","","","","  -11.1","0,0124, ","   127"," ,0,0117, ","   102"," ,0,0117, ","  76.7"," ,0,0526, ","   35.6","0,0708,+","0.0","0,1113","-2.8","0,1124","-5.6","0,1202","-8.9","0,1203","-8.9","0,1203","-1.1","0,0312","-2.2","0,0301","-5.0","0,0129","-8.3","0,0128","-11.1","0,0124","    1834.8","8","","","","","","","","","    1834.8","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   1280.4"," ,0","","","      138"," ,0","     15.82","0","     21.95","0","      9.68","0","","","","","","","","","","","","","","","","","",""
"USW00013722","1947","35.8923","-78.7819","126.8","RALEIGH AIRPORT, NC US","","","    855.3","","     855.3","0","       133","0","        84","0","        11","0","        0","","         1","0","         0","0","        92","0","         3","0","       195","0","        44","0","","","","","","","  -11.1","0,0209,+","     0","T,0,1225,+","    51"," ,0,0327, "," 100.8"," ,0,1028, ","   37.2","0,0731, ","0.0","0,1002","-2.2","0,1127","-4.4","0,1129","-7.2","0,1201","","","-1.7","0,0401","-3.9","0,0327","-4.4","0,0309","-6.7","0,0228","-8.9","0,0224","    1905.6","6","","","","","","","","","    1905.6","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   1168.2"," ,0","","","       99"," ,0","     14.83","0","     20.89","0","      8.77","0","","","","","","","","","","","","","","","","","",""
"USW00013722","1948","35.8923","-78.7819","126.8","RALEIGH AIRPORT, NC US","","","    856.4","","     856.4","0","       149","0","        79","0","        13","0","       10","","         5","0","         0","0","        61","0","         8","0","       218","0","        49","0","       154"," ","","","        56"," ","  -12.8","0,0202, ","   229"," ,0,0201, ","   251"," ,0,0210, ","  54.6"," ,0,0929, ","   37.8","0,0829,+","0.0","0,1019","-2.2","0,1201","-5.6","0,1211","-10.6","0,1226","-10.6","0,1226","-3.9","0,0329","-3.9","0,0329","-5.6","0,0211","-9.4","0,0210","-9.4","0,0210","    1978.7","7","","","","","","","","","    1978.7","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   1327.1"," ,0","","","      622"," ,0","     15.48","0","     21.72","0","      9.23","0","","","","","","","","","","","","","","","","","",""
"USW00013722","1949","35.8923","-78.7819","126.8","RALEIGH AIRPORT, NC US","","","    903.8","","     903.8","0","       126","0","        81","0","         9","0","        0","","         0","0","         0","0","        58","0","         0","0","       214","0","        44","0","       139"," ","","","        48"," ","   -6.1","0,1216, ","     0","T,0,0131,+","     0","T,0,1215,+","  71.9"," ,0,0828, ","   37.8","0,0727,+","-1.1","0,1106","-2.2","0,1118","-5.6","0,1209","","","","","-0.6","0,0417","-4.4","0,0316","-4.4","0,0316","","","","","    1611.2","2","","","","","","","","","    1611.2","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   1106.1"," ,0","","","        0","T,0","     16.33","0","     22.36","0","     10.29","0","","","","","","","","","","","","","","","","","",""
"USW00013722","1950","35.8923","-78.7819","126.8","RALEIGH AIRPORT, NC US","","","    840.5","","     840.5","0","       125","0","        77","0","         7","0","        0","","         0","0","         0","0","        77","0","         1","0","       211","0","        44","0","       124"," ","","","        56"," ","  -10.6","0,1219, ","     0","T,0,1228,+","     8"," ,0,1228, ","  76.2"," ,0,0514, ","   36.7","0,0903, ","0.0","0,1105","-2.2","0,1106","-8.9","0,1125","-8.9","0,1125","-8.9","0,1125","-2.2","0,0416","-2.2","0,0416","-7.2","0,0304","-7.2","0,0304","","","    1709.7","7","","","","","","","","","    1709.7","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    962.2"," ,0","","","        8"," ,0","     15.47","0","     21.78","0","      9.16","0","","","","","","","","","","","","","","","","","",""
"USW00013722","1951","35.8923","-78.7819","126.8","RALEIGH AIRPORT, NC US","","","    878.2","","     878.2","0","       113","0","        68","0","         8","0","        1","","         1","0","         0","0","        80","0","         4","0","       214","0","        60","0","       142"," ","","","        46"," ","  -12.2","0,0204, ","    25"," ,0,0209, ","    30"," ,0,0209, ","  38.4"," ,0,0822, ","   37.2","0,0602, ","-1.7","0,1103","-4.4","0,1109","-4.4","0,1109","-7.2","0,1120","-10.6","0,1216","-1.1","0,0327","-3.3","0,0317","-6.1","0,0211","-10.0","0,0208","-10.0","0,0208","    1964.4","4","","","","","","","","","    1964.4","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    877.4"," ,0","","","       30"," ,0","     15.61","0","     22.28","0","      8.94","0","","","","","","","","","","","","","","","","","",""
"USW00013722","1952","35.8923","-78.7819","126.8","RALEIGH AIRPORT, NC US","","","    921.6","","     921.6","0","       109","0","        85","0","        14","0","        1","","         2","0","         0","0","        66","0","         0","0","       203","0","        66","0","       134"," ","","","        50"," ","   -9.4","0,0131, ","    51"," ,0,0226, ","    89"," ,0,0226, ","  89.4"," ,0,0831, ","   40.6","0,0723, ","0.0","0,1020","-2.8","0,1021","-4.4","0,1108","-7.2","0,1215","","","-1.7","0,0317","-2.2","0,0316","-9.4","0,0131","-9.4","0,0131","-9.4","0,0131","    1791.5","5","","","","","","","","","    1791.5","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   1249.8"," ,0","","","      119"," ,0","     15.71","0","     22.05","0","      9.36","0","","","","","","","","","","","","","","","","","",""
"USW00013722","1953","35.8923","-78.7819","126.8","RALEIGH AIRPORT, NC US","","","    939.8","","     939.8","0","        92","0","        63","0","        10","0","        0","","         0","X","         0","0","        59","0","         0","0","       216","0","        72","0","       144"," ","","","        41"," ","  -10.6","0,1218, ","     0"," ,0,1231,+","    15"," ,X,1106, ","  68.1"," ,0,0927, ","   38.9","0,0731, ","0.0","0,1106","-2.8","0,1107","-4.4","0,1127","-6.7","0,1129","-10.6","0,1218","-0.6","0,0421","-2.2","0,0309","-6.1","0,0218","","","","","    1788.5","5","","","","","","","","","    1788.5","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    915.3"," ,0","","","       15"," ,X","     16.27","0","     22.90","0","      9.64","0","","","","","","","","","","","","","","","","","",""
"USW00013722","1954","35.8923","-78.7819","126.8","RALEIGH AIRPORT, NC US","","","    968.6","","     968.6","0","       102","0","        74","0","         7","0","        8","","         4","0","         0","0","        77","0","         1","0","       201","0","        59","0","       126"," ","","","        48"," ","  -10.6","0,0113, ","   127"," ,0,0123, ","   104"," ,0,0123, "," 102.6"," ,0,1015, ","   40.0","0,0906,+","-3.3","0,1101","-3.3","0,1101","-4.4","0,1127","-6.7","0,1206","-9.4","0,1207","-3.9","0,0322","-3.9","0,0322","-5.6","0,0307","-6.7","0,0212","-10.6","0,0113","    1811.3","3","","","","","","","","","    1811.3","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   1057.9"," ,0","","","      225"," ,0","     15.60","0","     22.26","0","      8.94","0","","","","","","","","","","","","","","","","","",""
