"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LX01","LX01_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00013958","1939","30.3208","-97.7604","204.2","AUSTIN CAMP MABRY, TX US","","","   1657.5","","    1657.5","0","        75","0","        48","0","         6","0","        0","","         0","0","         0","0","        15","0","         0","0","       280","0","       143","0","","","","","","","   -4.4","0,1229, ","     0"," ,0,1231,+","     0","T,0,1228,+","  52.1"," ,0,0729, ","   42.2","0,0708, ","","","-1.7","0,1227","-4.4","0,1229","-4.4","0,1229","","","","","-2.2","0,0226","-2.2","0,0226","","","","","","","     899.2","2","","","     899.2","0","","","","","","","","","","","","","","","    599.7"," ,0","","","        0","T,0","     20.44","0","     27.31","0","     13.57","0","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00013958","1940","30.3208","-97.7604","204.2","AUSTIN CAMP MABRY, TX US","","","   1358.0","","    1358.0","0","        95","0","        66","0","        11","0","        2","","         1","0","         0","0","        35","0","         2","0","       261","0","       102","0","","","","","","","  -12.2","0,0119, ","    51"," ,0,0122, ","    51"," ,0,0122, ","  76.2"," ,0,0629, ","   38.9","0,0828, ","","","-1.1","0,1113","-3.9","0,1114","","","","","","","-0.6","0,0413","-2.8","0,0221","-5.6","0,0128","-8.3","0,0127","-11.1","0,0123","    1170.7","7","","","    1170.7","0","","","","","","","","","","","","","","","    989.8"," ,0","","","       51"," ,0","     18.81","0","     25.25","0","     12.37","0","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00013958","1941","30.3208","-97.7604","204.2","AUSTIN CAMP MABRY, TX US","","","   1563.3","","    1563.3","0","       102","0","        60","0","        17","0","        0","","         0","0","         0","0","         7","0","         0","0","       245","0","        99","0","","","","","","","   -3.3","0,0119, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  81.3"," ,0,0606, ","   37.8","0,0904,+","","","-2.2","0,1124","-2.2","0,1124","","","","","","","-1.1","0,0209","-3.3","0,0119","","","","","","","    1003.3","3","","","    1003.3","0","","","","","","","","","","","","","","","   1153.5"," ,0","","","        0"," ,0","     19.83","0","     25.32","0","     14.33","0","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00013958","1942","30.3208","-97.7604","204.2","AUSTIN CAMP MABRY, TX US","","","   1419.4","","    1419.4","0","        79","0","        44","0","        11","0","        0","","         0","0","         0","0","        17","0","         2","0","       276","0","        94","0","","","","","         4"," ","   -7.8","0,0108, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  66.0"," ,0,0907, ","   38.3","0,0612, ","","","-1.1","0,1229","","","","","","","","","0.0","0,0303","-3.9","0,0218","-6.7","0,0110","-6.7","0,0110","","","     998.0","0","","","     998.0","0","","","","","","","","","","","","","","","    818.4"," ,0","","","        0"," ,0","     19.54","0","     25.58","0","     13.50","0","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00013958","1943","30.3208","-97.7604","204.2","AUSTIN CAMP MABRY, TX US","","","   1544.2","","    1544.2","0","        69","0","        44","0","         7","0","        0","","         0","0","         0","0","        26","0","         1","0","       273","0","       100","0","","","","","        37"," ","  -10.6","0,0119, ","     0"," ,0,1231,+","     0","T,0,0128,+","  67.3"," ,0,0408, ","   40.0","0,0817, ","","","0.0","0,1130","-5.0","0,1215","-5.0","0,1215","-6.7","0,1216","","","-1.1","0,0308","-4.4","0,0307","-4.4","0,0307","-7.8","0,0303","-10.6","0,0119","     885.8","8","","","     885.8","0","","","","","","","","","","","","","","","    629.0"," ,0","","","        0","T,0","     19.75","0","     25.82","0","     13.69","0","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00013958","1944","30.3208","-97.7604","204.2","AUSTIN CAMP MABRY, TX US","","","   1475.0","","    1475.0","0","        99","0","        60","0","        14","0","        3","","         2","0","         0","0","        20","0","         0","0","       259","0","        91","0","","","","","        51"," ","   -7.2","0,0115, ","   102"," ,0,0114, ","    99"," ,0,0113, ","  99.1"," ,0,0906, ","   39.4","0,0726, ","","","0.0","0,1127","-2.2","0,1211","","","","","","","0.0","0,0320","-3.3","0,0212","-7.2","0,0115","-7.2","0,0115","","","    1047.5","5","","","    1047.5","0","","","","","","","","","","","","","","","   1091.8"," ,0","","","      178"," ,0","     19.56","0","     25.24","0","     13.88","0","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00013958","1945","30.3208","-97.7604","204.2","AUSTIN CAMP MABRY, TX US","","","   1523.7","","    1523.7","0","        90","0","        58","0","        13","0","        0","","         0","0","         0","0","        11","0","         0","0","       274","0","       104","0","","","","","        60"," ","   -3.9","0,1220,+","     0","T,0,1211,+","     0","T,0,1211,+"," 101.6"," ,0,0829, ","   40.0","0,0818, ","","","0.0","0,1122","-2.2","0,1215","","","","","","","0.0","0,0129","","","","","","","","","     909.9","9","","","     909.9","0","","","","","","","","","","","","","","","   1038.3"," ,0","","","        0","T,0","     20.12","0","     25.89","0","     14.34","0","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00013958","1946","30.3208","-97.7604","204.2","AUSTIN CAMP MABRY, TX US","","","   1497.5","","    1497.5","0","       106","0","        64","0","        15","0","        0","","         0","0","         0","0","        13","0","         2","0","       276","0","        86","0","","","","","        54"," ","   -5.0","0,1230, ","     0","T,0,1231,+","     5"," ,0,1231, "," 101.1"," ,0,1103, ","   37.8","0,0712, ","","","-2.8","0,1229","-2.8","0,1229","-5.0","0,1230","","","","","0.0","0,0214","-3.3","0,0210","","","","","","","     896.4","4","","","     896.4","0","","","","","","","","","","","","","","","   1201.7"," ,0","","","        5"," ,0","     20.10","0","     25.61","0","     14.58","0","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00013958","1947","30.3208","-97.7604","204.2","AUSTIN CAMP MABRY, TX US","","","   1627.2","","    1627.2","0","        79","0","        38","0","         6","0","        1","","         0","0","         0","0","        19","0","         3","0","       256","0","       122","0","","","","","        21"," ","   -9.4","0,0104, ","    25"," ,0,0101, ","    20"," ,0,0101, ","  35.8"," ,0,0516, ","   40.0","0,0810, ","","","0.0","0,1226","","","","","","","","","0.0","0,0316","-2.8","0,0302","-4.4","0,0210","-7.2","0,0105","-9.4","0,0104","    1129.3","3","","","    1129.3","0","","","","","","","","","","","","","","","    548.2"," ,0","","","       20"," ,0","     19.49","0","     25.42","0","     13.56","0","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00013958","1948","30.3208","-97.7604","204.2","AUSTIN CAMP MABRY, TX US","","","   1744.8","","    1744.8","0","        78","0","        40","0","         8","0","        0","","         0","0","         0","0","        41","0","         4","0","       275","0","       132","0","        77"," ","","","        42"," ","   -7.8","0,0312,+","     0","T,0,0311,+","     0","T,0,0311,+","  42.2"," ,0,0511, ","   39.4","0,0822,+","","","0.0","0,1120","-3.3","0,1130","","","","","","","-5.0","0,0313","-5.0","0,0313","-5.0","0,0313","-7.8","0,0312","","","    1158.3","3","","","    1158.3","0","","","","","","","","","","","","","","","    533.8"," ,0","","","        0","T,0","     20.02","0","     26.42","0","     13.61","0","","","","","","","","","","","","","","","","","","","","","","","",""
